Market Year,Domestic Consumption,Unit of Measure,Growth Rate
1960,192,(1000 MT),NA
1961,192,(1000 MT),0.00%
1962,162,(1000 MT),-15.63%
1963,217,(1000 MT),33.95%
1964,161,(1000 MT),-25.81%
1965,192,(1000 MT),19.25%
1966,155,(1000 MT),-19.27%
1967,177,(1000 MT),14.19%
1968,163,(1000 MT),-7.91%
1969,157,(1000 MT),-3.68%
1970,203,(1000 MT),29.30%
1971,226,(1000 MT),11.33%
1972,263,(1000 MT),16.37%
1973,159,(1000 MT),-39.54%
1974,170,(1000 MT),6.92%
1975,137,(1000 MT),-19.41%
1976,227,(1000 MT),65.69%
1977,216,(1000 MT),-4.85%
1978,159,(1000 MT),-26.39%
1979,206,(1000 MT),29.56%
1980,163,(1000 MT),-20.87%
1981,228,(1000 MT),39.88%
1982,221,(1000 MT),-3.07%
1983,223,(1000 MT),0.90%
1984,201,(1000 MT),-9.87%
1985,263,(1000 MT),30.85%
1986,267,(1000 MT),1.52%
1987,274,(1000 MT),2.62%
1988,281,(1000 MT),2.55%
1989,227,(1000 MT),-19.22%
1990,207,(1000 MT),-8.81%
1991,244,(1000 MT),17.87%
1992,246,(1000 MT),0.82%
1993,277,(1000 MT),12.60%
1994,288,(1000 MT),3.97%
1995,326,(1000 MT),13.19%
1996,316,(1000 MT),-3.07%
1997,269,(1000 MT),-14.87%
1998,417,(1000 MT),55.02%
1999,354,(1000 MT),-15.11%
2000,444,(1000 MT),25.42%
2001,358,(1000 MT),-19.37%
2002,219,(1000 MT),-38.83%
2003,251,(1000 MT),14.61%
2004,198,(1000 MT),-21.12%
2005,233,(1000 MT),17.68%
2006,250,(1000 MT),7.30%
2007,274,(1000 MT),9.60%
2008,246,(1000 MT),-10.22%
2009,264,(1000 MT),7.32%
2010,275,(1000 MT),4.17%
2011,247,(1000 MT),-10.18%
2012,293,(1000 MT),18.62%
2013,323,(1000 MT),10.24%
2014,288,(1000 MT),-10.84%
2015,319,(1000 MT),10.76%
2016,323,(1000 MT),1.25%
2017,287,(1000 MT),-11.15%
2018,321,(1000 MT),11.85%
2019,395,(1000 MT),23.05%
2020,374,(1000 MT),-5.32%
2021,369,(1000 MT),-1.34%
2022,375,(1000 MT),1.63%
2023,380,(1000 MT),1.33%
