"Category","Annual Mean","5-yr smooth"
1901,24.39,24.5
1902,24.64,24.37
1903,24.08,24.25
1904,24.12,24.15
1905,23.99,24.08
1906,24.23,24.04
1907,24.1,24.04
1908,24.11,24.07
1909,24.04,24.12
1910,23.91,24.18
1911,24.26,24.22
1912,24.39,24.24
1913,24.1,24.23
1914,24.22,24.2
1915,24.62,24.17
1916,24.22,24.16
1917,23.59,24.16
1918,24.18,24.19
1919,24.22,24.24
1920,24.39,24.3
1921,24.67,24.35
1922,24.35,24.39
1923,24.36,24.4
1924,24.5,24.39
1925,24.07,24.36
1926,24.22,24.33
1927,24.13,24.29
1928,24.49,24.27
1929,24.33,24.25
1930,24.2,24.24
1931,24.56,24.24
1932,24.41,24.24
1933,23.95,24.23
1934,24.12,24.23
1935,24.17,24.22
1936,24.2,24.23
1937,24.09,24.24
1938,24.3,24.27
1939,24.32,24.31
1940,24.28,24.36
1941,25.03,24.41
1942,24.56,24.45
1943,24.26,24.47
1944,24.26,24.46
1945,24.03,24.44
1946,24.52,24.41
1947,24.61,24.38
1948,24.51,24.36
1949,24.35,24.37
1950,24.01,24.4
1951,24.52,24.44
1952,24.66,24.48
1953,24.88,24.51
1954,24.44,24.52
1955,24.25,24.51
1956,24.19,24.49
1957,24.28,24.46
1958,24.96,24.43
1959,24.51,24.4
1960,24.48,24.38
1961,24.15,24.37
1962,24.2,24.37
1963,24.35,24.37
1964,24.35,24.38
1965,24.45,24.39
1966,24.69,24.4
1967,24.29,24.4
1968,24.17,24.4
1969,24.75,24.4
1970,24.39,24.39
1971,23.92,24.38
1972,24.49,24.37
1973,24.61,24.36
1974,24.39,24.36
1975,24.09,24.38
1976,24.41,24.41
1977,24.56,24.46
1978,24.36,24.5
1979,24.82,24.54
1980,24.83,24.57
1981,24.48,24.59
1982,24.49,24.59
1983,24.25,24.59
1984,24.42,24.59
1985,24.72,24.58
1986,24.52,24.58
1987,24.94,24.59
1988,24.93,24.6
1989,24.37,24.6
1990,24.49,24.61
1991,24.57,24.61
1992,24.45,24.6
1993,24.69,24.6
1994,24.57,24.6
1995,24.7,24.62
1996,24.76,24.65
1997,24.3,24.7
1998,25.04,24.76
1999,24.92,24.83
2000,24.81,24.9
2001,24.99,24.96
2002,25.19,25.01
2003,24.96,25.05
2004,25.04,25.08
2005,24.81,25.1
2006,25.11,25.11
2007,25.13,25.11
2008,24.87,25.1
2009,25.59,25.09
2010,25.52,25.08
2011,24.94,25.07
2012,24.88,25.06
2013,24.75,25.06
2014,24.89,25.06
2015,25.01,25.07
2016,25.37,25.07
2017,25.26,25.08
2018,25.11,25.08
2019,25.05,25.09
2020,24.9,25.1
2021,25.09,25.11
2022,25.2,25.12
