Year,Rice Domestic Consumption (1000 MT),Per Capita GNI,Per Capita GDP,Per Capita GNI (US Dollar),Per Capita GDP (US Dollar),"Inflation, consumer prices (annual %)",Mean_Price_USD_per_Metric_Ton,Total Population (Number),Resident Population (Number),Singapore Citizen Population (Number),Permanent Resident Population (Number),Non-Resident Population (Number),Total Population Growth (Per Cent),Resident Population Growth (Per Cent),Population Density (Total Population Per Square Kilometre),Sex Ratio (Males Per Thousand Females),Median Age Of Resident Population (Years),Median Age Of Citizen Population (Years),Old-Age Support Ratio: Residents Aged 15-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),Child Dependency Ratio: Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years (Number),Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years (Number),Old-Age Support Ratio: Residents Aged 20-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio: Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Child Dependency Ratio: Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years (Number),Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Old-Age Support Ratio: Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio: Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Child Dependency Ratio: Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Support Ratio: Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio: Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Child Dependency Ratio: Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years (Number),Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Resident Natural Increase (Number),Rate Of Natural Increase (Per Thousand Residents),India_Precipitation(mm),India_Temp(°C),Thailand_Precipitation(mm),Thailand_Temp(°C)
2004,198,43841,46664,25937,27607,1.662727199,250.78,"4,166,664","3,413,266","3,057,087","356,179","753,398",1.3,1.4,"5,987",986,35.4,36.2,9.2,39.5,28.7,10.8,8.4,53.8,41.9,11.9,8.4,41.5,29.7,11.9,7.6,57.3,44.1,13.2,"20,210",5.9,1030.22,25.04,1438.8,26.64
2005,233,47046,49867,28263,29957,0.425106277,287.08,"4,265,762","3,467,814","3,081,001","386,813","797,948",2.4,1.6,"6,121",985,35.8,36.6,8.9,39.1,27.9,11.2,8.1,53.6,41.2,12.4,8.1,41.1,28.8,12.4,7.2,57.2,43.4,13.8,"20,243",5.8,1116.76,24.81,1581.45,26.85
2006,250,52201,53655,32854,33769,0.962901778,310.95,"4,401,365","3,525,894","3,107,924","417,970","875,471",3.2,1.7,"6,298",983,36.1,37.0,8.6,38.5,27.0,11.6,7.8,53.4,40.6,12.8,7.8,40.6,27.8,12.9,6.9,57.2,42.8,14.4,"20,858",5.9,1190.39,25.11,1714.52,26.74
2007,274,57866,59429,38396,39433,2.104880036,319.55,"4,588,599","3,583,082","3,133,848","449,234","1,005,517",4.3,1.6,"6,552",982,36.4,37.5,8.5,37.9,26.1,11.8,7.7,53.0,40.0,13.0,7.6,40.0,26.8,13.2,6.8,57.0,42.2,14.8,"21,029",5.9,1136.2,25.13,1662.52,26.64
2008,246,54524,56607,38538,40011,6.627781774,577.13,"4,839,396","3,642,659","3,164,438","478,221","1,196,737",5.5,1.7,"6,846",980,36.7,37.8,8.4,37.2,25.3,11.9,7.6,52.2,39.0,13.2,7.5,39.4,26.0,13.4,6.7,56.2,41.2,15.0,"21,115",5.8,1157.89,24.87,1712.79,26.29
2009,264,53683,56619,36908,38927,0.596720257,614.33,"4,987,573","3,733,876","3,200,693","533,183","1,253,697",3.1,2.5,"7,025",976,36.9,38.2,8.3,36.5,24.4,12.1,7.5,51.0,37.6,13.3,7.3,39.0,25.2,13.8,6.5,55.3,39.9,15.4,"20,912",5.6,1001.02,25.59,1638.83,26.68
2010,275,63712,64408,46727,47237,2.823661349,485.97,"5,076,732","3,771,721","3,230,719","541,002","1,305,011",1.8,1.0,"7,146",974,37.4,38.6,8.2,35.7,23.5,12.2,7.4,50.0,36.5,13.5,7.2,38.3,24.4,13.9,6.4,54.4,38.8,15.5,"18,653",4.9,1251.52,25.52,1637.71,27.32
2011,247,65454,67783,52034,53886,5.247793398,440.63,"5,183,688","3,789,251","3,257,228","532,023","1,394,437",2.1,0.5,"7,273",972,38.0,39.1,7.9,35.3,22.7,12.6,7.2,49.2,35.4,13.9,7.0,37.9,23.6,14.3,6.3,53.6,37.6,16.0,"19,291",5.1,1145.75,24.94,1990.16,26.27
2012,293,66330,69417,53077,55547,4.575602704,390.85,"5,312,437","3,818,205","3,285,140","533,065","1,494,232",2.5,0.8,"7,429",970,38.4,39.6,7.4,35.7,22.3,13.5,6.7,49.5,34.7,14.8,6.5,38.4,23.1,15.3,5.9,53.8,36.8,17.0,"21,368",5.6,1067.48,24.88,1538.85,27.16
2013,323,67444,71283,53899,56967,2.358604154,430.33,"5,399,162","3,844,751","3,313,507","531,244","1,554,411",1.6,0.7,"7,540",968,38.9,40.0,7.0,36.1,21.8,14.3,6.4,49.6,33.9,15.7,6.1,39.0,22.7,16.3,5.5,54.1,36.0,18.1,"17,871",4.6,1255.69,24.75,1760.87,26.8
