DataSeries,Per Capita GNI,Per Capita GDP,Per Capita GNI (US Dollar),Per Capita GDP (US Dollar)
2023,95455,113779,71071,84714
2022,98550,121914,71470,88414
2021,90948,106942,67670,79570
2020,73243,84808,53105,61491
2019,79698,90145,58421,66079
2018,79127,90157,58652,66828
2017,78606,84460,56932,61172
2016,73843,78610,53451,56902
2015,71283,76503,51850,55647
2014,70400,72938,55560,57563
2013,67444,71283,53899,56967
2012,66330,69417,53077,55547
2011,65454,67783,52034,53886
2010,63712,64408,46727,47237
2009,53683,56619,36908,38927
2008,54524,56607,38538,40011
2007,57866,59429,38396,39433
2006,52201,53655,32854,33769
2005,47046,49867,28263,29957
2004,43841,46664,25937,27607
2003,40244,41343,23100,23730
2002,38890,39679,21719,22160
2001,38620,38880,21555,21700
2000,40870,41121,23708,23853
1999,37363,36945,22044,21798
1998,37072,36534,22151,21830
1997,39930,39163,26893,26376
1996,36724,36989,26044,26231
1995,35569,35314,25095,24915
1994,32963,32921,21581,21554
1993,28929,29553,17904,18290
1992,26301,26285,16145,16136
1991,24674,25053,14282,14502
1990,22901,23134,12635,12764
1989,20791,20918,10660,10726
1988,18518,18774,9202,9329
1987,15986,16415,7591,7794
1986,14965,14960,6873,6871
1985,15059,14935,6844,6788
1984,15177,15274,7115,7160
1983,13800,14195,6531,6718
1982,12193,12840,5698,6000
1981,11294,11984,5346,5672
1980,10167,10717,4748,5005
1979,8837,8870,4064,4079
1978,7773,7791,3418,3426
1977,6952,7033,2850,2883
1976,6507,6542,2634,2648
1975,6122,6068,2582,2559
1974,5597,5755,2297,2362
1973,4638,4740,1887,1929
1972,3848,3857,1368,1371
1971,3275,3280,1074,1075
1970,2861,2834,935,926
1969,2529,2488,826,813
1968,2213,2169,723,709
1967,1966,1916,642,626
1966,1790,1735,585,567
1965,1632,1581,533,516
1964,1533,1486,501,485
1963,1603,1565,524,511
1962,1473,1445,481,472
1961,1401,1375,458,449
1960,1334,1310,436,428
