"Category","Annual Mean","5-yr smooth"
1901,26.59,26.44
1902,26.52,26.48
1903,26.19,26.51
1904,26.04,26.54
1905,27.1,26.55
1906,27.16,26.55
1907,26.22,26.53
1908,26.29,26.5
1909,26.32,26.45
1910,26.14,26.4
1911,26.66,26.35
1912,26.45,26.3
1913,26.21,26.27
1914,26.38,26.24
1915,26.21,26.21
1916,25.97,26.2
1917,25.94,26.2
1918,26.3,26.21
1919,26.57,26.23
1920,26.35,26.24
1921,26.12,26.26
1922,26.31,26.27
1923,26.13,26.27
1924,26.28,26.27
1925,26.09,26.28
1926,26.57,26.29
1927,26.25,26.31
1928,26.39,26.36
1929,26.39,26.41
1930,26.37,26.47
1931,26.69,26.52
1932,26.48,26.55
1933,26.54,26.55
1934,26.3,26.52
1935,26.79,26.48
1936,26.42,26.42
1937,26.52,26.37
1938,26,26.34
1939,25.97,26.33
1940,26.4,26.35
1941,27.22,26.37
1942,26.44,26.41
1943,26.01,26.45
1944,26.4,26.49
1945,26.42,26.51
1946,26.57,26.53
1947,26.75,26.51
1948,26.34,26.47
1949,26.37,26.4
1950,26.18,26.3
1951,26.25,26.19
1952,26.23,26.1
1953,26.24,26.03
1954,26.19,26.02
1955,25.68,26.06
1956,25.69,26.13
1957,26.4,26.22
1958,26.43,26.29
1959,26.53,26.34
1960,26.56,26.35
1961,26.23,26.33
1962,26.08,26.29
1963,26.07,26.26
1964,26.14,26.24
1965,26.28,26.25
1966,26.75,26.28
1967,26.12,26.32
1968,26.43,26.35
1969,26.56,26.37
1970,26.33,26.35
1971,25.72,26.31
1972,26.46,26.25
1973,26.47,26.21
1974,25.99,26.19
1975,26.21,26.22
1976,26.11,26.29
1977,26.36,26.39
1978,26.67,26.48
1979,27.05,26.54
1980,26.74,26.55
1981,25.97,26.49
1982,26.06,26.39
1983,26.4,26.29
1984,26.11,26.22
1985,26.19,26.21
1986,26.14,26.29
1987,26.97,26.45
1988,26.73,26.64
1989,26.73,26.82
1990,27.04,26.96
1991,27.11,27.02
1992,26.72,26.99
1993,26.74,26.91
1994,26.81,26.8
1995,26.7,26.7
1996,26.32,26.64
1997,26.86,26.63
1998,27.5,26.65
1999,26.3,26.69
2000,26.53,26.74
2001,26.71,26.77
2002,26.8,26.77
2003,26.71,26.75
2004,26.64,26.72
2005,26.85,26.68
2006,26.74,26.65
2007,26.64,26.64
2008,26.29,26.64
2009,26.68,26.67
2010,27.32,26.71
2011,26.27,26.78
2012,27.16,26.86
2013,26.8,26.96
2014,26.9,27.06
2015,27.3,27.14
2016,27.41,27.21
2017,26.93,27.23
2018,26.92,27.22
2019,27.49,27.17
2020,27.42,27.1
2021,26.9,27.01
2022,26.78,26.91
