iter	Passed	Remaining
0	141	141709
1	142	70966
2	142	47352
3	143	35630
4	143	28562
5	143	23850
6	144	20497
7	144	17957
8	145	15967
9	145	14409
10	145	13124
11	146	12045
12	146	11142
13	147	10394
14	148	9726
15	148	9134
16	149	8621
17	149	8152
18	149	7725
19	149	7346
20	150	7013
21	150	6707
22	151	6439
23	152	6189
24	152	5960
25	153	5746
26	153	5544
27	154	5361
28	154	5183
29	155	5019
30	155	4861
31	156	4723
32	156	4598
33	157	4487
34	158	4373
35	158	4252
36	159	4145
37	159	4038
38	160	3944
39	160	3849
40	160	3759
41	161	3674
42	161	3598
43	162	3523
44	162	3448
45	163	3380
46	163	3315
47	163	3246
48	164	3185
49	164	3126
50	164	3068
51	165	3015
52	166	2966
53	166	2914
54	166	2868
55	167	2824
56	168	2781
57	168	2736
58	169	2697
59	169	2655
60	169	2612
61	170	2573
62	171	2544
63	171	2509
64	172	2477
65	172	2446
66	173	2411
67	173	2379
68	174	2350
69	174	2319
70	175	2292
71	175	2261
72	176	2235
73	176	2211
74	177	2186
75	177	2162
76	178	2139
77	179	2117
78	179	2092
79	180	2070
80	180	2048
81	180	2025
82	181	2004
83	181	1983
84	182	1963
85	182	1941
86	182	1919
87	183	1899
88	183	1879
89	183	1859
90	184	1841
91	185	1826
92	185	1809
93	185	1792
94	186	1776
95	186	1759
96	187	1744
97	187	1729
98	188	1714
99	188	1698
100	189	1683
101	189	1670
102	190	1655
103	190	1642
104	190	1626
105	191	1613
106	191	1600
107	192	1587
108	192	1576
109	193	1565
110	193	1552
111	194	1540
112	194	1530
113	195	1519
114	196	1510
115	196	1498
116	197	1489
117	197	1478
118	198	1468
119	198	1458
120	199	1446
121	199	1437
122	200	1428
123	200	1419
124	201	1409
125	201	1399
126	202	1391
127	202	1381
128	203	1373
129	203	1364
130	204	1355
131	204	1346
132	205	1339
133	205	1329
134	205	1319
135	206	1313
136	207	1306
137	207	1299
138	208	1291
139	208	1282
140	209	1275
141	209	1268
142	210	1261
143	211	1254
144	211	1247
145	212	1240
146	212	1233
147	213	1227
148	213	1220
149	214	1213
150	214	1206
151	215	1200
152	215	1193
153	216	1187
154	216	1180
155	217	1174
156	217	1168
157	218	1162
158	218	1155
159	219	1149
160	219	1144
161	220	1138
162	220	1132
163	221	1126
164	221	1121
165	222	1115
166	222	1110
167	223	1105
168	223	1098
169	223	1093
170	224	1088
171	225	1083
172	225	1078
173	225	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1052
178	228	1047
179	228	1042
180	229	1038
181	229	1033
182	230	1028
183	230	1023
184	231	1019
185	231	1014
186	232	1010
187	232	1006
188	233	1001
189	233	997
190	234	992
191	234	988
192	235	984
193	235	980
194	236	976
195	237	972
196	237	969
197	238	964
198	238	960
199	239	956
200	239	952
201	239	947
202	240	944
203	240	940
204	241	936
