Year,RiceCons,PerCapGNI,PerCapGDP,GNI_USD,GDP_USD,Inflation,MeanPriceUSD,TotPop,ResPop,CitizenPop,PRPop,NonResPop,PopGrowth,ResPopGrowth,PopDensity,SexRatio,MedAgeRes,MedAgeCit,OldSupRatio,AgeDepRatio,ChildDepRat,OldDepRatio,OldSup20_64,AgeDep20_64,ChildDep20_64,OldDep20_64,CitSup15_64,CitDep15_64,CitChildDep15_64,CitOldDep15_64,CitSup20_64,CitDep20_64,CitChildDep20_64,CitOldDep20_64,ResNatInc,NatIncRate,IndPrecip,IndTemp,ThaPrecip,ThaTemp
2004,198,43841,46664,25937,27607,1.662727199,250.78,4166664,3413266,3057087,356179,753398,1.3,1.4,5987,986,35.4,36.2,9.2,39.5,28.7,10.8,8.4,53.8,41.9,11.9,8.4,41.5,29.7,11.9,7.6,57.3,44.1,13.2,20210,5.9,1030.22,25.04,1438.8,26.64
2005,233,47046,49867,28263,29957,0.425106277,287.08,4265762,3467814,3081001,386813,797948,2.4,1.6,6121,985,35.8,36.6,8.9,39.1,27.9,11.2,8.1,53.6,41.2,12.4,8.1,41.1,28.8,12.4,7.2,57.2,43.4,13.8,20243,5.8,1116.76,24.81,1581.45,26.85
2006,250,52201,53655,32854,33769,0.962901778,310.95,4401365,3525894,3107924,417970,875471,3.2,1.7,6298,983,36.1,37,8.6,38.5,27,11.6,7.8,53.4,40.6,12.8,7.8,40.6,27.8,12.9,6.9,57.2,42.8,14.4,20858,5.9,1190.39,25.11,1714.52,26.74
2007,274,57866,59429,38396,39433,2.104880036,319.55,4588599,3583082,3133848,449234,1005517,4.3,1.6,6552,982,36.4,37.5,8.5,37.9,26.1,11.8,7.7,53,40,13,7.6,40,26.8,13.2,6.8,57,42.2,14.8,21029,5.9,1136.2,25.13,1662.52,26.64
2008,246,54524,56607,38538,40011,6.627781774,577.13,4839396,3642659,3164438,478221,1196737,5.5,1.7,6846,980,36.7,37.8,8.4,37.2,25.3,11.9,7.6,52.2,39,13.2,7.5,39.4,26,13.4,6.7,56.2,41.2,15,21115,5.8,1157.89,24.87,1712.79,26.29
2009,264,53683,56619,36908,38927,0.596720257,614.33,4987573,3733876,3200693,533183,1253697,3.1,2.5,7025,976,36.9,38.2,8.3,36.5,24.4,12.1,7.5,51,37.6,13.3,7.3,39,25.2,13.8,6.5,55.3,39.9,15.4,20912,5.6,1001.02,25.59,1638.83,26.68
2010,275,63712,64408,46727,47237,2.823661349,485.97,5076732,3771721,3230719,541002,1305011,1.8,1,7146,974,37.4,38.6,8.2,35.7,23.5,12.2,7.4,50,36.5,13.5,7.2,38.3,24.4,13.9,6.4,54.4,38.8,15.5,18653,4.9,1251.52,25.52,1637.71,27.32
2011,247,65454,67783,52034,53886,5.247793398,440.63,5183688,3789251,3257228,532023,1394437,2.1,0.5,7273,972,38,39.1,7.9,35.3,22.7,12.6,7.2,49.2,35.4,13.9,7,37.9,23.6,14.3,6.3,53.6,37.6,16,19291,5.1,1145.75,24.94,1990.16,26.27
2012,293,66330,69417,53077,55547,4.575602704,390.85,5312437,3818205,3285140,533065,1494232,2.5,0.8,7429,970,38.4,39.6,7.4,35.7,22.3,13.5,6.7,49.5,34.7,14.8,6.5,38.4,23.1,15.3,5.9,53.8,36.8,17,21368,5.6,1067.48,24.88,1538.85,27.16
2013,323,67444,71283,53899,56967,2.358604154,430.33,5399162,3844751,3313507,531244,1554411,1.6,0.7,7540,968,38.9,40,7,36.1,21.8,14.3,6.4,49.6,33.9,15.7,6.1,39,22.7,16.3,5.5,54.1,36,18.1,17871,4.6,1255.69,24.75,1760.87,26.8
